id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
785548260498956030,Cómodo apart. cerca de Atocha 3 Pers. 2 Hab. SCAB,460391145,Francisco Andres,Arganzuela,Palos de Moguer,40.40527575214507,-3.6956967458183954,Entire home/apt,80,1,40,2025-09-10,1.23,181,268,25,En proceso
785603046811208307,alquiler de habitaciones,489360107,Estrella,Carabanchel,San Isidro,40.38953,-3.7341,Private room,,15,0,,,1,0,0,678188637
785956460452121603,Apartamento reformado y tranquilo en Gran Vía,22321820,Daniel,Centro,Sol,40.418043924072,-3.700700593894504,Entire home/apt,123,3,84,2025-08-29,2.55,62,248,33,ESFCNT00002810900045683400000000000000000000000000009
786019805363512566,"Blueground | Salamanca, furnished",434208714,Blueground,Salamanca,Fuente del Berro,40.427367,-3.6663664,Entire home/apt,243,30,5,2024-05-02,0.17,249,137,0,
786093210580812783,Cómoda Habitación - Aeropuerto y Centro,127034838,Sofi,San Blas - Canillejas,Canillejas,40.44587,-3.60815,Private room,45,1,38,2025-09-03,1.31,2,348,5,
786100911810163049,Céntrico Apto. Junto al Metro,22679983,Ana & Miguel,Centro,Embajadores,40.4109744943731,-3.696745976883769,Entire home/apt,99,31,128,2025-05-31,3.90,4,268,23,ESFCNT00002811800027744800000000000000000000000000001
786185717493327092,Chueca VIII 3BR 3BH,217067249,Jorge,Centro,Justicia,40.42218,-3.69947,Entire home/apt,,2,71,2025-06-05,2.15,72,2,11,
786212150291575555,Lofts Business Bernabéu 3 De Alquiler Temporal,391810099,Alberto Jesus,Tetuán,Cuatro Caminos,40.44938,-3.70167,Entire home/apt,116,1,0,,,95,332,0,
786232405736637433,Céntrico y cómodo en Retiro,9885245,My Mad Madrid,Retiro,Niño Jesús,40.41463,-3.67389,Entire home/apt,105,2,119,2025-08-22,3.59,51,319,45,ESFCTU00002810400054311900000000000000000000110135690
786271908356644733,Apartamento con encanto en zona residencial,229138489,Antonio,Ciudad Lineal,Concepción,40.44445,-3.6453,Entire home/apt,,3,83,2024-10-13,2.57,25,0,5,
786785882312495133,Apartamento en centro de Madrid,492253458,Mariano,Centro,Embajadores,40.40911571036532,-3.7037929213479805,Entire home/apt,,2,124,2025-08-31,3.75,1,2,44,
786888575387504178,Triana - 1 bedroom apartment in Trafalgar,346367515,Ukio,Chamberí,Arapiles,40.43326,-3.70521,Entire home/apt,368,31,0,,,384,330,0,ESFCNT00002809200028426500000000000000000000000000007
786914515699929559,Los Monteros Home,492280007,Alberto,Fuencarral - El Pardo,Valverde,40.4967467,-3.6912173,Entire home/apt,64,28,12,2025-07-26,0.38,3,253,4,ESFCNT00002811600065693500000000000000000000000000001
787006021712983300,Room in the Heart of Madrid,123306231,Erick,Centro,Embajadores,40.41017,-3.70264,Private room,75,1,10,2025-07-12,0.41,1,24,3,ESHENT00002811800046323000100000000000000000000000005
787043473405213601,Un sueño en pleno Barrio de Salamanca,492305589,Cristina,Retiro,Ibiza,40.42104939636103,-3.676983309119396,Entire home/apt,124,1,102,2025-09-12,4.38,2,162,59,
787082159674866483,Cerca Museo Reina Sofia,4347030,Alexa,Centro,Embajadores,40.41038,-3.69693,Private room,,1,185,2025-09-08,5.65,5,133,65,
787190886517839220,Habitación amplia en Ópera.,44205379,Hugo,Centro,Sol,40.4178974580056,-3.707421418783202,Private room,65,2,143,2025-07-14,4.40,1,37,32,
787498051434476719,Piso de dos dormitorios junto a Madrid Río,2864064,Nuba Gestion De,Usera,Moscardó,40.3894901,-3.7006432,Entire home/apt,84,1,6,2025-09-01,0.19,20,345,2,
787505998260344415,Estudio Privado 1 persona,105344430,Jorge,Chamberí,Vallehermoso,40.4411825,-3.7132248,Entire home/apt,59,15,9,2025-08-31,0.45,22,0,4,
787539563149733970,Las Cortes y Museos Madrid,490812264,Alexander,Centro,Cortes,40.4159034,-3.6955958,Entire home/apt,94,3,165,2025-08-30,5.09,18,316,54,
787562928471772259,Las cortes y Museos,490812264,Alexander,Centro,Cortes,40.4159034,-3.6955958,Entire home/apt,97,3,176,2025-08-29,5.33,18,301,63,
787573076488743644,Las cortes y Museos,490812264,Alexander,Centro,Cortes,40.4159034,-3.6955958,Entire home/apt,97,3,138,2025-08-29,4.20,18,329,48,
787595665085172768,Habitación relax Madrid Río. San Isidro,115210020,Abelardo,Carabanchel,Comillas,40.39539,-3.71153,Private room,,3,138,2025-07-07,4.19,2,0,43,
787638571871355024,Loft de lujo en la Calle Almagro,160217053,(Mateo ),Chamberí,Almagro,40.42927146352117,-3.6950780445952174,Entire home/apt,106,2,138,2025-08-31,5.40,3,289,74,
